candidate_rel,jarvis_id,rank,formula,selection,p_stable,e_hull,has_metadata_json,has_pw_input,has_structure_cif,has_pw_output,has_pw_error,has_out_dir,out_file_count,workflow_declared,qe_status_reported,qe_status_source,qe_status_estimated,runtime_state,qe_job_done_marker,qe_ionic_converged,qe_scf_converged,qe_total_energy_ry,qe_total_force_ev_per_ang,reference_hull_artifacts,convergence_artifacts,phonon_artifacts,evidence_tier,evidence_label,blockers,recommended_next_step
022_JVASP-113229,JVASP-113229,22,Li2Co3BiO8,top,0.6555194064656389,0.0434,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
023_JVASP-23304,JVASP-23304,23,LiVAsO5,top,0.6552423458190327,0.081,True,True,True,False,False,True,0,True,timeout,run4_retry1,done,status_timeout,False,False,False,,,,,,T0,ML-screened,missing_qe_output,Run QE relaxations and store pw.out/pw.err in the candidate directory.
024_JVASP-48326,JVASP-48326,24,NaLiMnPCO7,top,0.6531038846962868,0.0119,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
025_JVASP-10690,JVASP-10690,25,LiNdTiO4,top,0.6515081818630379,0.0,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
026_JVASP-56624,JVASP-56624,26,RbLiMoO4,top,0.6512887024888437,0.0,True,True,True,False,False,True,0,True,done,run3,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
027_JVASP-144779,JVASP-144779,27,NaLiMnPCO7,top,0.6492138856407799,0.0,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
028_JVASP-119277,JVASP-119277,28,Li2FeO3,top,0.6490386048546023,0.0,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
029_JVASP-34836,JVASP-34836,29,Li(CoO2)2,top,0.6480775860848309,0.0,True,True,True,False,False,True,0,True,done,run3,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
030_JVASP-43029,JVASP-43029,30,Li2FeO3,top,0.6460777304116798,0.0265,True,True,True,False,False,True,0,True,done,run3,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
031_JVASP-44377,JVASP-44377,31,Li2Cr3SbO8,top,0.6444230082543249,0.0158,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
032_JVASP-142677,JVASP-142677,32,Li2Cr3SbO8,top,0.6433603389329234,0.0,True,True,True,False,False,True,0,True,timeout,run4_retry1,done,status_timeout,False,False,False,,,,,,T0,ML-screened,missing_qe_output,Run QE relaxations and store pw.out/pw.err in the candidate directory.
033_JVASP-11729,JVASP-11729,33,Li2FeSiO4,top,0.6363322844326486,0.0601,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
034_JVASP-14002,JVASP-14002,34,LiYMo3O8,top,0.6349717394590363,0.0,True,True,True,False,False,True,0,True,done,run3,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
035_JVASP-9783,JVASP-9783,35,Li2TiSiO5,top,0.6345624774472479,0.0,True,True,True,False,False,True,0,True,done,run3,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
036_JVASP-55805,JVASP-55805,36,LiMnAsO4,top,0.6341262246799683,0.1597,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
037_JVASP-55325,JVASP-55325,37,LiVP2O7,top,0.6328887462168975,0.0,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
038_JVASP-20860,JVASP-20860,38,Li10Zn4O9,top,0.6327828127463994,0.0023,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
039_JVASP-153797,JVASP-153797,39,Li2FeSiO4,top,0.6313592405641414,0.0461,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
040_JVASP-91495,JVASP-91495,40,Na2Li3FeO4,top,0.6307710474837326,0.0,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
041_JVASP-43211,JVASP-43211,41,LiMnO2,borderline,0.6299747550057442,0.0502,True,True,True,False,False,True,0,True,done,run3,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
042_JVASP-87170,JVASP-87170,42,LiMoP2O7,borderline,0.6296862039633062,0.0336,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
043_JVASP-45772,JVASP-45772,43,LiVCr(P2O7)2,borderline,0.6296674931320934,0.0,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
044_JVASP-48483,JVASP-48483,44,Li2Ni3TeO8,borderline,0.629163571964193,0.012,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
045_JVASP-54553,JVASP-54553,45,LiNbWO6,borderline,0.6288336163826741,0.0,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
076_JVASP-97999,JVASP-97999,76,LiV(SiO3)2,random,0.6131935835236969,0.0125,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
1753_JVASP-116825,JVASP-116825,1753,Li3V2(CO3)4,random,0.4106250213671998,0.1645,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
2669_JVASP-44507,JVASP-44507,2669,Li2MnBAsO7,random,0.3099863560125226,0.1149,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
3310_JVASP-133661,JVASP-133661,3310,Li5Fe3(CuO5)2,random,0.1586774860492561,0.139,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
2675_JVASP-43165,JVASP-43165,2675,Li2MnV3O8,random,0.3091215876798598,0.0395,True,True,True,False,False,True,0,True,done,run4_retry1,done,status_done_output_missing,False,False,False,,,,,,T0,ML-screened,missing_qe_output;reported_done_missing_pw_out,Sync completed QE outputs into the campaign directory.
